#Query	BLAST hit 1
ENSEBLP00005007605.1	CG4119-PB 
ENSEBLP00005010039.1	Lsd-1-PD 
ENSEBLP00005010076.1	gwl-PA 
ENSEBLP00005010085.1	gwl-PA 
ENSEBLP00005010101.1	gwl-PA 
ENSEBLP00005000336.1	Osi24-PA 
ENSEBLP00005000340.1	Osi24-PA 
ENSEBLP00005000357.1	Osi10a-PA 
ENSEBLP00005000377.1	Osi7-PA 
ENSEBLP00005000405.1	Osi11-PA 
ENSEBLP00005000437.1	Osi9-PA 
ENSEBLP00005000499.1	Osi6-PB 
ENSEBLP00005000512.1	Osi8-PA 
ENSEBLP00005000521.1	Osi8-PA 
ENSEBLP00005000550.1	Osi3-PB 
ENSEBLP00005000577.1	NPFR-PC 
ENSEBLP00005000581.1	NPFR-PB 
ENSEBLP00005000588.1	NPFR-PA 
ENSEBLP00005000627.1	Osi4-PB 
ENSEBLP00005000682.1	Osi10a-PA 
ENSEBLP00005000695.1	Osi5-PA 
ENSEBLP00005000713.1	Osi2-PC 
ENSEBLP00005000722.1	Osi2-PC 
ENSEBLP00005003879.1	sdk-PG 
ENSEBLP00005003897.1	sdk-PG 
ENSEBLP00005021133.1	HnRNP-K-PB 
ENSEBLP00005021143.1	HnRNP-K-PB 
ENSEBLP00005021152.1	HnRNP-K-PE 
ENSEBLP00005021165.1	HnRNP-K-PE 
ENSEBLP00005021179.1	PPO2-PA 
ENSEBLP00005021229.1	CG13743-PB 
ENSEBLP00005021275.1	Ance-4-PA 
ENSEBLP00005021282.1	Ance-4-PA 
ENSEBLP00005021306.1	Nnf1a-PA 
ENSEBLP00005021335.1	Dgk-PI 
ENSEBLP00005021345.1	Dgk-PI 
ENSEBLP00005021351.1	Dgk-PI 
ENSEBLP00005021413.1	CG13955-PA 
ENSEBLP00005021438.1	Ance-4-PA 
ENSEBLP00005021462.1	Ance-4-PA 
ENSEBLP00005021484.1	PPO2-PA 
ENSEBLP00005021490.1	PPO2-PA 
ENSEBLP00005021514.1	CG4382-PB 
ENSEBLP00005021549.1	Hil-PA 
ENSEBLP00005021558.1	Hil-PA 
ENSEBLP00005021614.1	wun-PB 
ENSEBLP00005021618.1	wun-PB 
ENSEBLP00005021628.1	wun-PC 
ENSEBLP00005021634.1	wun-PC 
ENSEBLP00005021641.1	wun-PB 
ENSEBLP00005018629.1	CG34034-PB 
ENSEBLP00005018641.1	Pebp1-PA 
ENSEBLP00005018661.1	Pebp1-PA 
ENSEBLP00005018685.1	CG31233-PB 
ENSEBLP00005018692.1	CG31233-PB 
ENSEBLP00005018696.1	CG31233-PB 
ENSEBLP00005018720.1	a5-PA 
ENSEBLP00005018730.1	Pebp1-PA 
ENSEBLP00005018752.1	CG31198-PA 
ENSEBLP00005018758.1	CG31198-PA 
ENSEBLP00005018775.1	CG31233-PB 
ENSEBLP00005018790.1	a5-PA 
ENSEBLP00005018804.1	Pebp1-PA 
ENSEBLP00005018820.1	Pebp1-PA 
ENSEBLP00005018828.1	Pebp1-PA 
ENSEBLP00005018842.1	CG10298-PA 
ENSEBLP00005018860.1	CG34034-PB 
ENSEBLP00005018877.1	CG15617-PA 
ENSEBLP00005018885.1	CG15617-PA 
ENSEBLP00005018894.1	CG10298-PA 
ENSEBLP00005018917.1	Zasp67-PG 
ENSEBLP00005018926.1	Zasp67-PG 
ENSEBLP00005018932.1	Zasp67-PG 
ENSEBLP00005018938.1	Zasp67-PG 
ENSEBLP00005018951.1	CG17919-PA 
ENSEBLP00005018970.1	CG42319-PF 
ENSEBLP00005018976.1	CG42319-PC 
ENSEBLP00005018982.1	CG42319-PD 
ENSEBLP00005019008.1	CG18048-PA 
ENSEBLP00005019012.1	CG18048-PA 
ENSEBLP00005019027.1	SmD2-PA 
ENSEBLP00005019030.1	SmD2-PA 
ENSEBLP00005019048.1	ScsbetaG-PC 
ENSEBLP00005019066.1	Pebp1-PA 
ENSEBLP00005019086.1	CG10298-PA 
ENSEBLP00005019114.1	mAChR-B-PA 
ENSEBLP00005019131.1	Pebp1-PA 
ENSEBLP00005019144.1	CG5849-PA 
ENSEBLP00005007528.1	CG31106-PB 
ENSEBLP00005007537.1	mRpL1-PA 
ENSEBLP00005007548.1	Rbp9-PH 
ENSEBLP00005007571.1	Pfdn5-PB 
ENSEBLP00005007576.1	Pfdn5-PB 
ENSEBLP00005007588.1	GCS2beta-PB 
ENSEBLP00005007595.1	GCS2beta-PB 
ENSEBLP00005007613.1	CG7275-PA 
ENSEBLP00005007615.1	CG7275-PA 
ENSEBLP00005007647.1	wfs1-PC 
ENSEBLP00005007654.1	wfs1-PC 
ENSEBLP00005007657.1	wfs1-PC 
ENSEBLP00005007668.1	CG31464-PB 
ENSEBLP00005007683.1	CG12402-PB 
ENSEBLP00005007690.1	CG12402-PA 
ENSEBLP00005007716.1	CCT1-PA 
ENSEBLP00005007722.1	CCT1-PA 
ENSEBLP00005007726.1	CCT1-PA 
ENSEBLP00005007741.1	Abi-PE 
ENSEBLP00005007748.1	Abi-PE 
ENSEBLP00005007791.1	CG9626-PC 
ENSEBLP00005007801.1	CG9626-PC 
ENSEBLP00005007809.1	CG9626-PC 
ENSEBLP00005007823.1	CG31463-PA 
ENSEBLP00005007831.1	ato-PA 
ENSEBLP00005007843.1	CG11672-PB 
ENSEBLP00005007858.1	CG10340-PA 
ENSEBLP00005007888.1	Kif19A-PB 
ENSEBLP00005007899.1	Kif19A-PB 
ENSEBLP00005007905.1	Kif19A-PB 
ENSEBLP00005007909.1	Kif19A-PB 
ENSEBLP00005007944.1	NPF-PC 
ENSEBLP00005007948.1	NPF-PC 
ENSEBLP00005007953.1	NPF-PC 
ENSEBLP00005007959.1	NPF-PC 
ENSEBLP00005007984.1	nac-PA 
ENSEBLP00005007990.1	nac-PA 
ENSEBLP00005008002.1	CG5376-PA 
ENSEBLP00005008004.1	CG5376-PA 
ENSEBLP00005008031.1	CG31106-PB 
ENSEBLP00005008065.1	CG10345-PA 
ENSEBLP00005008072.1	CG10345-PA 
ENSEBLP00005008079.1	CG10345-PA 
ENSEBLP00005008082.1	CG10345-PA 
ENSEBLP00005017391.1	Strip-PC 
ENSEBLP00005017398.1	Strip-PC 
ENSEBLP00005017415.1	Srp68-PA 
ENSEBLP00005017430.1	pix-PB 
ENSEBLP00005017449.1	CG1907-PA 
ENSEBLP00005017458.1	CG1907-PA 
ENSEBLP00005017482.1	Gtpx-PD 
ENSEBLP00005017489.1	Gtpx-PC 
ENSEBLP00005017496.1	Gtpx-PC 
ENSEBLP00005017499.1	Gtpx-PD 
ENSEBLP00005017505.1	Gtpx-PD 
ENSEBLP00005017513.1	CG7550-PA 
ENSEBLP00005017555.1	cu-PC 
ENSEBLP00005017561.1	cu-PG 
ENSEBLP00005017569.1	cu-PD 
ENSEBLP00005017578.1	cu-PE 
ENSEBLP00005017595.1	ldbr-PB 
ENSEBLP00005017600.1	ldbr-PB 
ENSEBLP00005017615.1	dpr6-PF 
ENSEBLP00005017659.1	Alp1-PA 
ENSEBLP00005017666.1	Alp1-PA 
ENSEBLP00005017670.1	Alp1-PA 
ENSEBLP00005017674.1	Alp1-PA 
ENSEBLP00005017686.1	Alp1-PA 
ENSEBLP00005017690.1	Alp1-PA 
ENSEBLP00005017715.1	msk-PA 
ENSEBLP00005017724.1	msk-PA 
ENSEBLP00005017747.1	Alp1-PA 
ENSEBLP00005017770.1	NijA-PA 
ENSEBLP00005017794.1	HIPP1-PB 
ENSEBLP00005017801.1	HIPP1-PB 
ENSEBLP00005017817.1	Ilp8-PB 
ENSEBLP00005017824.1	Ilp8-PB 
ENSEBLP00005017848.1	CG14961-PA 
ENSEBLP00005017857.1	CG14961-PA 
ENSEBLP00005017862.1	CG14961-PA 
ENSEBLP00005017890.1	CG12016-PB 
ENSEBLP00005017897.1	CG12016-PB 
ENSEBLP00005017929.1	CG5644-PA 
ENSEBLP00005017947.1	RhoGEF64C-PB 
ENSEBLP00005017979.1	nSyb-PI 
ENSEBLP00005017986.1	nSyb-PF 
ENSEBLP00005017997.1	nSyb-PF 
ENSEBLP00005018024.1	Alp1-PA 
ENSEBLP00005018032.1	Alp1-PA 
ENSEBLP00005018035.1	Alp1-PA 
ENSEBLP00005000975.1	mmd-PJ 
ENSEBLP00005000988.1	mmd-PF 
ENSEBLP00005001003.1	mmd-PI 
ENSEBLP00005001010.1	mmd-PF 
ENSEBLP00005001015.1	mmd-PF 
ENSEBLP00005001027.1	mmd-PI 
ENSEBLP00005001041.1	mmd-PF 
ENSEBLP00005001074.1	Ppt1-PB 
ENSEBLP00005001082.1	Ppt1-PB 
ENSEBLP00005001112.1	Ppt1-PB 
ENSEBLP00005001118.1	Ppt1-PB 
ENSEBLP00005001141.1	CG33140-PA 
ENSEBLP00005001222.1	Rok-PB 
ENSEBLP00005001234.1	Rok-PB 
ENSEBLP00005001240.1	Rok-PB 
ENSEBLP00005001246.1	Rok-PB 
ENSEBLP00005001277.1	CAH3-PE 
ENSEBLP00005001298.1	CAH13-PA 
ENSEBLP00005001308.1	CAH13-PA 
ENSEBLP00005001338.1	CG16721-PC 
ENSEBLP00005001349.1	CG16721-PC 
ENSEBLP00005001381.1	eas-PI 
ENSEBLP00005001392.1	eas-PI 
ENSEBLP00005001403.1	eas-PI 
ENSEBLP00005001408.1	eas-PI 
ENSEBLP00005027765.1	CG4830-PA 
ENSEBLP00005027777.1	Gr93a-PA 
ENSEBLP00005027799.1	Gr93a-PA 
ENSEBLP00005027839.1	CNBP-PB 
ENSEBLP00005027846.1	CNBP-PB 
ENSEBLP00005027860.1	CG9993-PA 
ENSEBLP00005027886.1	Ir51b-PA 
ENSEBLP00005027896.1	CG9993-PA 
ENSEBLP00005027948.1	Gr93a-PA 
ENSEBLP00005027968.1	Acsx4-PA 
ENSEBLP00005027997.1	CG5397-PB 
ENSEBLP00005017860.1	pot-PB 
ENSEBLP00005017901.1	nompB-PC 
ENSEBLP00005017930.1	cac-PL 
ENSEBLP00005017944.1	cac-PN 
ENSEBLP00005017999.1	Sclp-PB 
ENSEBLP00005018007.1	Sclp-PA 
ENSEBLP00005018016.1	Sclp-PA 
ENSEBLP00005018070.1	Pdzd8-PA 
ENSEBLP00005018079.1	Pdzd8-PA 
ENSEBLP00005018158.1	RapGAP1-PI 
ENSEBLP00005018170.1	RapGAP1-PI 
ENSEBLP00005018182.1	RapGAP1-PI 
ENSEBLP00005018193.1	RapGAP1-PI 
ENSEBLP00005001979.1	CG18659-PC 
ENSEBLP00005001985.1	CG18659-PC 
ENSEBLP00005001987.1	CG18659-PC 
ENSEBLP00005001992.1	CG18659-PC 
ENSEBLP00005002001.1	CG18659-PC 
ENSEBLP00005002003.1	CG18659-PC 
ENSEBLP00005002007.1	CG18659-PC 
ENSEBLP00005002028.1	CG2736-PA 
ENSEBLP00005002038.1	CG2736-PA 
ENSEBLP00005002061.1	PPP1R15-PA 
ENSEBLP00005002071.1	PPP1R15-PA 
ENSEBLP00005002083.1	CG6693-PB 
ENSEBLP00005002116.1	Nmdar1-PA 
ENSEBLP00005002131.1	Nmdar1-PA 
ENSEBLP00005002151.1	CG2812-PA 
ENSEBLP00005002157.1	CG2812-PA 
ENSEBLP00005002245.1	CG2736-PA 
ENSEBLP00005002257.1	CG2736-PA 
ENSEBLP00005002265.1	CG2736-PA 
ENSEBLP00005002272.1	CG2736-PA 
ENSEBLP00005002279.1	CG2736-PA 
ENSEBLP00005025856.1	Dop2R-PB 
ENSEBLP00005025866.1	Dop2R-PB 
ENSEBLP00005025899.1	CG6454-PD 
ENSEBLP00005025914.1	CG6454-PD 
ENSEBLP00005025922.1	RPA1-PA 
ENSEBLP00005025980.1	waw-PA 
ENSEBLP00005025988.1	waw-PA 
ENSEBLP00005025994.1	waw-PA 
ENSEBLP00005026084.1	bbx-PE 
ENSEBLP00005026089.1	bbx-PE 
ENSEBLP00005000375.1	CG14711-PA 
ENSEBLP00005000403.1	CG14711-PA 
ENSEBLP00005000424.1	Seipin-PA 
ENSEBLP00005000433.1	Seipin-PA 
ENSEBLP00005000441.1	Seipin-PA 
ENSEBLP00005000451.1	CG4367-PD 
ENSEBLP00005000501.1	Hel89B-PC 
ENSEBLP00005000509.1	Hel89B-PC 
ENSEBLP00005000517.1	Hel89B-PC 
ENSEBLP00005000524.1	Hel89B-PC 
ENSEBLP00005000543.1	Mad1-PA 
ENSEBLP00005000549.1	Mad1-PA 
ENSEBLP00005000560.1	Fdh-PA 
ENSEBLP00005000582.1	Mad1-PA 
ENSEBLP00005000585.1	Mad1-PA 
ENSEBLP00005000604.1	Fntb-PA 
ENSEBLP00005000624.1	CG5790-PB 
ENSEBLP00005000671.1	wkd-PB 
ENSEBLP00005000675.1	wkd-PB 
ENSEBLP00005000681.1	wkd-PB 
ENSEBLP00005000734.1	cic-PH 
ENSEBLP00005000748.1	cic-PD 
ENSEBLP00005000761.1	cic-PD 
ENSEBLP00005000765.1	cic-PD 
ENSEBLP00005000780.1	mor-PA 
ENSEBLP00005000816.1	CG31279-PE 
ENSEBLP00005000826.1	CG31279-PB 
ENSEBLP00005000834.1	CG31279-PE 
ENSEBLP00005000868.1	CG4367-PD 
ENSEBLP00005005951.1	Ocho-PB 
ENSEBLP00005006062.1	eg-PA 
ENSEBLP00005006077.1	Tom-PA 
ENSEBLP00005017116.1	Ndg-PC 
ENSEBLP00005017124.1	Ndg-PC 
ENSEBLP00005017217.1	SLO2-PN 
ENSEBLP00005017229.1	SLO2-PE 
ENSEBLP00005017238.1	SLO2-PE 
ENSEBLP00005017246.1	SLO2-PH 
ENSEBLP00005017255.1	SLO2-PH 
ENSEBLP00005017269.1	SLO2-PH 
ENSEBLP00005017278.1	SLO2-PH 
ENSEBLP00005017290.1	SLO2-PH 
ENSEBLP00005017300.1	SLO2-PN 
ENSEBLP00005017325.1	Ndg-PC 
ENSEBLP00005017362.1	CG9265-PD 
ENSEBLP00005017372.1	CG9265-PD 
ENSEBLP00005029531.1	CG30375-PA 
ENSEBLP00005029536.1	CG30371-PA 
ENSEBLP00005029541.1	5-HT1A-PC 
ENSEBLP00005022890.1	klar-PD 
ENSEBLP00005022901.1	CG3106-PB 
ENSEBLP00005022915.1	Cpr67Fb-PA 
ENSEBLP00005022929.1	CG3106-PB 
ENSEBLP00005022953.1	Cpr67Fb-PA 
ENSEBLP00005022964.1	CG17746-PB 
ENSEBLP00005022986.1	Lcp1-PB 
ENSEBLP00005023019.1	Ptp61F-PA 
ENSEBLP00005023027.1	Ptp61F-PB 
ENSEBLP00005023033.1	Ptp61F-PB 
ENSEBLP00005023055.1	CG14219-PA 
ENSEBLP00005023115.1	Larp4B-PD 
ENSEBLP00005023120.1	Larp4B-PD 
ENSEBLP00005023126.1	Larp4B-PD 
ENSEBLP00005023134.1	Larp4B-PD 
ENSEBLP00005023151.1	klar-PC 
ENSEBLP00005023154.1	klar-PC 
ENSEBLP00005023181.1	Reg-2-PA 
ENSEBLP00005023194.1	Reg-2-PA 
ENSEBLP00005023200.1	CG9166-PB 
ENSEBLP00005023234.1	Cpr65Ec-PA 
ENSEBLP00005023238.1	Cpr65Ec-PA 
ENSEBLP00005023257.1	CG3106-PB 
ENSEBLP00005009483.1	Pp2C1-PB 
ENSEBLP00005009486.1	Pp2C1-PB 
ENSEBLP00005009526.1	Sik2-PA 
ENSEBLP00005009535.1	Sik3-PA 
ENSEBLP00005009616.1	Psf3-PC 
ENSEBLP00005009624.1	Psf3-PC 
ENSEBLP00005009676.1	Cep164-PC 
ENSEBLP00005009724.1	RpS19a-PE 
ENSEBLP00005009737.1	RpS19a-PE 
ENSEBLP00005009743.1	RpS19a-PE 
ENSEBLP00005009812.1	CG14478-PD 
ENSEBLP00005009874.1	CG4645-PB 
ENSEBLP00005009884.1	CG4645-PB 
ENSEBLP00005009891.1	CG4645-PB 
ENSEBLP00005021248.1	Dyrk3-PE 
ENSEBLP00005021256.1	Dyrk3-PE 
ENSEBLP00005021263.1	Dyrk3-PE 
ENSEBLP00005021290.1	CG33978-PG 
ENSEBLP00005021307.1	CG33978-PD 
ENSEBLP00005021317.1	CG33978-PD 
ENSEBLP00005021326.1	CG33978-PD 
ENSEBLP00005021340.1	CG32006-PA 
ENSEBLP00005021367.1	Zip102B-PF 
ENSEBLP00005021390.1	CG33978-PC 
ENSEBLP00005021398.1	CG33978-PC 
ENSEBLP00005021419.1	unc-13-PB 
ENSEBLP00005021502.1	CG3309-PA 
ENSEBLP00005021509.1	CG3309-PB 
ENSEBLP00005021535.1	CG5367-PA 
ENSEBLP00005021544.1	CG5367-PA 
ENSEBLP00005021562.1	Zip89B-PA 
ENSEBLP00005021624.1	Cals-PD 
ENSEBLP00005021647.1	Cals-PD 
ENSEBLP00005021655.1	Cals-PD 
ENSEBLP00005021660.1	Cals-PD 
ENSEBLP00005021674.1	CG33978-PF 
ENSEBLP00005021697.1	unc-13-PE 
ENSEBLP00005021759.1	eIF4G1-PB 
ENSEBLP00005021791.1	CG3777-PE 
ENSEBLP00005021797.1	CG3777-PE 
ENSEBLP00005021803.1	CG3777-PE 
ENSEBLP00005021808.1	CG3777-PE 
ENSEBLP00005000234.1	CG42268-PO 
ENSEBLP00005000243.1	CG42268-PF 
ENSEBLP00005000253.1	CG42268-PF 
ENSEBLP00005000265.1	CG42268-PF 
ENSEBLP00005000299.1	CG8051-PB 
ENSEBLP00005000324.1	S-Lap1-PA 
ENSEBLP00005000328.1	S-Lap1-PA 
ENSEBLP00005000346.1	dpr6-PD 
ENSEBLP00005003833.1	SNCF-PA 
ENSEBLP00005003846.1	CCKLR-17D1-PA 
ENSEBLP00005003848.1	CCKLR-17D3-PB 
ENSEBLP00005003850.1	CCKLR-17D3-PB 
ENSEBLP00005003866.1	cer-PA 
ENSEBLP00005003902.1	CG8944-PB 
ENSEBLP00005028473.1	side-VIII-PD 
ENSEBLP00005028481.1	side-VIII-PD 
ENSEBLP00005028493.1	side-VIII-PD 
ENSEBLP00005015810.1	CG14892-PA 
ENSEBLP00005015838.1	Scp2-PA 
ENSEBLP00005015849.1	Scp2-PA 
ENSEBLP00005015871.1	Atpalpha-PA 
ENSEBLP00005015881.1	Atpalpha-PA 
ENSEBLP00005015887.1	Atpalpha-PA 
ENSEBLP00005015898.1	Calx-PC 
ENSEBLP00005015945.1	Npc2b-PA 
ENSEBLP00005015953.1	Npc2b-PA 
ENSEBLP00005015971.1	CCHa1-PB 
ENSEBLP00005015976.1	CCHa1-PB 
ENSEBLP00005013012.1	CG10433-PC 
ENSEBLP00005013023.1	CG10433-PC 
ENSEBLP00005013043.1	CG15673-PC 
ENSEBLP00005013114.1	Dh44-R2-PA 
ENSEBLP00005013119.1	Dh44-R2-PA 
ENSEBLP00005013128.1	Dh44-R2-PA 
ENSEBLP00005013140.1	Dh44-R2-PA 
ENSEBLP00005013151.1	Dh44-R2-PA 
ENSEBLP00005013165.1	Eglp4-PE 
ENSEBLP00005013180.1	CG8093-PB 
ENSEBLP00005013219.1	CG8323-PA 
ENSEBLP00005013239.1	CG8093-PB 
ENSEBLP00005013248.1	CG8093-PB 
ENSEBLP00005013260.1	CG3635-PB 
ENSEBLP00005013285.1	CG18870-PB 
ENSEBLP00005013298.1	CG18870-PB 
ENSEBLP00005013311.1	Obp44a-PB 
ENSEBLP00005029195.1	Antdh-PA 
ENSEBLP00005029208.1	Antdh-PA 
ENSEBLP00005029231.1	stnA-PF 
ENSEBLP00005029243.1	CG1532-PB 
ENSEBLP00005029247.1	FucTC-PB 
ENSEBLP00005029266.1	Antdh-PA 
ENSEBLP00005029285.1	Pdfr-PA 
ENSEBLP00005029291.1	Pdfr-PA 
ENSEBLP00005029302.1	Antdh-PA 
ENSEBLP00005029307.1	Antdh-PA 
ENSEBLP00005029316.1	Antdh-PA 
ENSEBLP00005029340.1	CG10962-PB 
ENSEBLP00005029381.1	Antdh-PA 
ENSEBLP00005029391.1	stnB-PG 
ENSEBLP00005029399.1	stnB-PH 
ENSEBLP00005029408.1	Antdh-PA 
ENSEBLP00005029415.1	Antdh-PA 
ENSEBLP00005029442.1	Antdh-PA 
ENSEBLP00005029446.1	Antdh-PA 
ENSEBLP00005001974.1	CG32590-PA 
ENSEBLP00005002104.1	Ir94e-PA 
ENSEBLP00005002132.1	Dscam2-PN 
ENSEBLP00005002142.1	Dscam2-PS 
ENSEBLP00005002168.1	Or63a-PA 
ENSEBLP00005002185.1	Or63a-PA 
ENSEBLP00005002221.1	IleRS-m-PB 
ENSEBLP00005002232.1	IleRS-m-PB 
ENSEBLP00005002260.1	Or63a-PA 
ENSEBLP00005025666.1	Tcs6-PA 
ENSEBLP00005025678.1	PIG-P-PA 
ENSEBLP00005025730.1	aub-PA 
ENSEBLP00005025734.1	aub-PA 
ENSEBLP00005025759.1	Taf3-PA 
ENSEBLP00005025780.1	CG9588-PA 
ENSEBLP00005025795.1	CG31816-PA 
ENSEBLP00005025852.1	CG42750-PC 
ENSEBLP00005025860.1	CG42750-PC 
ENSEBLP00005025872.1	CG42750-PC 
ENSEBLP00005025878.1	CG42750-PB 
ENSEBLP00005025885.1	CG42750-PC 
ENSEBLP00005025893.1	CG6154-PD 
ENSEBLP00005025905.1	CG42750-PC 
ENSEBLP00005025923.1	RpL9-PC 
ENSEBLP00005025933.1	RpL9-PC 
ENSEBLP00005005959.1	CG7156-PA 
ENSEBLP00005005991.1	CG2747-PF 
ENSEBLP00005006002.1	CG2747-PE 
ENSEBLP00005006008.1	CG2747-PF 
ENSEBLP00005006028.1	mTerf5-PA 
ENSEBLP00005006036.1	mTerf5-PA 
ENSEBLP00005006051.1	CG7168-PA 
ENSEBLP00005006073.1	mip130-PA 
ENSEBLP00005006106.1	CG2540-PA 
ENSEBLP00005006149.1	Arc2-PA 
ENSEBLP00005006169.1	Trm7-32-PA 
ENSEBLP00005006213.1	Rlip-PA 
ENSEBLP00005006219.1	Rlip-PB 
ENSEBLP00005006243.1	Gnpat-PB 
ENSEBLP00005006249.1	Gnpat-PB 
ENSEBLP00005006282.1	Non3-PA 
ENSEBLP00005006292.1	Non3-PA 
ENSEBLP00005006299.1	Non3-PA 
ENSEBLP00005006312.1	repo-PA 
ENSEBLP00005006699.1	repo-PA 
ENSEBLP00005012366.1	RpL7A-PG 
ENSEBLP00005012372.1	RpL7A-PG 
ENSEBLP00005012398.1	CG42237-PB 
ENSEBLP00005012401.1	CG42237-PB 
ENSEBLP00005012410.1	CG42237-PB 
ENSEBLP00005012418.1	CG42237-PB 
ENSEBLP00005012432.1	CG3335-PA 
ENSEBLP00005012449.1	SdicB-PA 
ENSEBLP00005012452.1	Sdic1-PA 
ENSEBLP00005012467.1	agt-PB 
ENSEBLP00005012515.1	CG34417-PF 
ENSEBLP00005012522.1	CG34417-PW 
ENSEBLP00005012529.1	CG34417-PL 
ENSEBLP00005012537.1	CG34417-PX 
ENSEBLP00005012550.1	MFS10-PB 
ENSEBLP00005012574.1	gkt-PA 
ENSEBLP00005012582.1	gkt-PA 
ENSEBLP00005012605.1	Nep1-PD 
ENSEBLP00005012611.1	Nep1-PD 
ENSEBLP00005012617.1	Nep1-PD 
ENSEBLP00005012643.1	hng3-PA 
ENSEBLP00005012652.1	hng3-PA 
ENSEBLP00005012658.1	Adf1-PB 
ENSEBLP00005012676.1	CG32638-PB 
ENSEBLP00005012688.1	CG32638-PB 
ENSEBLP00005012698.1	CG32638-PB 
ENSEBLP00005012718.1	CG15717-PE 
ENSEBLP00005012770.1	RhoGAP1A-PB 
ENSEBLP00005012782.1	RhoGAP1A-PB 
ENSEBLP00005012791.1	RhoGAP1A-PB 
ENSEBLP00005012796.1	RhoGAP1A-PB 
ENSEBLP00005012803.1	RhoGAP1A-PB 
ENSEBLP00005012811.1	RhoGAP1A-PB 
ENSEBLP00005012831.1	MFS10-PB 
ENSEBLP00005012838.1	MFS10-PB 
ENSEBLP00005012868.1	Pat1-PC 
ENSEBLP00005012873.1	Pat1-PC 
ENSEBLP00005012882.1	Pat1-PB 
ENSEBLP00005012899.1	CG43088-PA 
ENSEBLP00005012928.1	dx-PA 
ENSEBLP00005012933.1	dx-PA 
ENSEBLP00005012970.1	CG17717-PA 
ENSEBLP00005012975.1	CG17717-PA 
ENSEBLP00005012989.1	MFS10-PB 
ENSEBLP00005013004.1	MFS10-PB 
ENSEBLP00005029471.1	sha-PA 
ENSEBLP00005029485.1	CG2063-PA 
ENSEBLP00005029511.1	CG34141-PD 
ENSEBLP00005029516.1	CG34141-PD 
ENSEBLP00005029543.1	CG13042-PA 
ENSEBLP00005029586.1	Pkn-PG 
ENSEBLP00005029592.1	Pkn-PS 
ENSEBLP00005029597.1	Pkn-PG 
ENSEBLP00005029603.1	Pkn-PG 
ENSEBLP00005029612.1	Pkn-PG 
ENSEBLP00005029618.1	Pkn-PD 
ENSEBLP00005029623.1	Pkn-PN 
ENSEBLP00005029640.1	Tsen15-PB 
ENSEBLP00005029645.1	Tsen15-PB 
ENSEBLP00005029657.1	Cog6-PA 
ENSEBLP00005006605.1	beat-IIIb-PD 
ENSEBLP00005006614.1	beat-IIIb-PC 
ENSEBLP00005007835.1	spz4-PB 
ENSEBLP00005007883.1	Dlg5-PA 
ENSEBLP00005007896.1	Dlg5-PA 
ENSEBLP00005007904.1	Dlg5-PA 
ENSEBLP00005007911.1	Dlg5-PA 
ENSEBLP00005007914.1	CG14931-PB 
ENSEBLP00005007925.1	Dlg5-PA 
ENSEBLP00005007937.1	SdicB-PA 
ENSEBLP00005007954.1	ft-PA 
ENSEBLP00005007963.1	ft-PA 
ENSEBLP00005007981.1	salm-PB 
ENSEBLP00005007988.1	salm-PA 
ENSEBLP00005008003.1	Cog8-PA 
ENSEBLP00005008017.1	Cog8-PA 
ENSEBLP00005008043.1	cpb-PB 
ENSEBLP00005008067.1	CG11454-PA 
ENSEBLP00005008108.1	CG42399-PB 
ENSEBLP00005008110.1	CG42399-PB 
ENSEBLP00005008115.1	CG42399-PC 
ENSEBLP00005008128.1	CG42399-PB 
ENSEBLP00005008133.1	CG42399-PB 
ENSEBLP00005008139.1	CG42399-PC 
ENSEBLP00005008150.1	CG42399-PC 
ENSEBLP00005008719.1	Pgant3-PA 
ENSEBLP00005008734.1	Pgant3-PA 
ENSEBLP00005008747.1	CG10031-PA 
ENSEBLP00005008782.1	ham-PD 
ENSEBLP00005008790.1	ham-PD 
ENSEBLP00005008799.1	ham-PG 
ENSEBLP00005008807.1	ham-PG 
ENSEBLP00005008828.1	CG3604-PB 
ENSEBLP00005008886.1	CG7378-PA 
ENSEBLP00005008894.1	CG7378-PA 
ENSEBLP00005008901.1	CG7378-PA 
ENSEBLP00005008905.1	CG7378-PB 
ENSEBLP00005008911.1	CG7378-PA 
ENSEBLP00005008961.1	CG10348-PB 
ENSEBLP00005008967.1	CG10348-PB 
ENSEBLP00005008983.1	for-PK 
ENSEBLP00005029363.1	Hayan-PD 
ENSEBLP00005029403.1	Hayan-PA 
ENSEBLP00005029452.1	Hayan-PA 
ENSEBLP00005029491.1	Hayan-PD 
ENSEBLP00005029594.1	Hayan-PA 
ENSEBLP00005029607.1	Hayan-PA 
ENSEBLP00005029613.1	Hayan-PA 
ENSEBLP00005029648.1	Hayan-PD 
ENSEBLP00005029654.1	Hayan-PD 
ENSEBLP00005029661.1	Hayan-PD 
ENSEBLP00005029677.1	Hayan-PD 
ENSEBLP00005022713.1	CG14478-PD 
ENSEBLP00005022774.1	Adk2-PC 
ENSEBLP00005022781.1	Adk2-PC 
ENSEBLP00005000777.1	CG32813-PO 
ENSEBLP00005000810.1	aux-PD 
ENSEBLP00005000833.1	AMPKalpha-PC 
ENSEBLP00005000850.1	CG30025-PA 
ENSEBLP00005000857.1	CG30025-PA 
ENSEBLP00005000884.1	CG11378-PC 
ENSEBLP00005000929.1	Cbp53E-PB 
