#Query	BLAST hit 1
ENSEBLP00000002056.1	 RpL7-like-PC 
ENSEBLP00000000984.1	 ASPP-PB 
ENSEBLP00000000985.1	 CG17839-PB 
ENSEBLP00000000986.1	 pck-PC 
ENSEBLP00000000987.1	 RhoGEF2-PG 
ENSEBLP00000000988.1	 tara-PB 
ENSEBLP00000000989.1	 Ptp52F-PB 
ENSEBLP00000000990.1	  
ENSEBLP00000000991.1	 Nplp1-PC 
ENSEBLP00000000992.1	  
ENSEBLP00000000993.1	 pck-PC 
ENSEBLP00000000994.1	 tara-PA 
ENSEBLP00000000995.1	  
ENSEBLP00000000996.1	 ASPP-PC 
ENSEBLP00000000997.1	 RhoGEF2-PH 
ENSEBLP00000000998.1	  
ENSEBLP00000000999.1	 CG17839-PB 
ENSEBLP00000001000.1	 tara-PA 
ENSEBLP00000001001.1	 Prosalpha3-PA 
ENSEBLP00000001002.1	 Map60-PA 
ENSEBLP00000001003.1	 tara-PB 
ENSEBLP00000001004.1	 Nup37-PB 
ENSEBLP00000001005.1	 CG31077-PB 
ENSEBLP00000001006.1	 bi-PG 
ENSEBLP00000001007.1	 Klc-PC 
ENSEBLP00000001009.1	 tara-PB 
ENSEBLP00000001008.1	 RhoGEF2-PG 
ENSEBLP00000001010.1	  
ENSEBLP00000001011.1	 mei-9-PB 
ENSEBLP00000001012.1	 Pgant6-PC 
ENSEBLP00000001013.1	 CG17839-PB 
ENSEBLP00000001014.1	 bi-PC 
ENSEBLP00000001015.1	 nAChRalpha2-PB 
ENSEBLP00000001016.1	 Klc-PC 
ENSEBLP00000001017.1	 mei-9-PB 
ENSEBLP00000001018.1	 Rpn8-PC 
ENSEBLP00000001019.1	 Pgant6-PC 
ENSEBLP00000001020.1	 bi-PC 
ENSEBLP00000001021.1	 Klc-PB 
ENSEBLP00000001022.1	  
ENSEBLP00000001023.1	 Or74a-PA 
ENSEBLP00000001024.1	 CG1827-PD 
ENSEBLP00000001025.1	 CG9372-PA 
ENSEBLP00000001026.1	 nAChRalpha2-PB 
ENSEBLP00000001027.1	 CG14569-PA 
ENSEBLP00000001028.1	 CG1827-PD 
ENSEBLP00000001029.1	 CG43346-PC 
ENSEBLP00000001030.1	 CG9372-PA 
ENSEBLP00000001031.1	 NUCB1-PA 
ENSEBLP00000001032.1	 CG6179-PA 
ENSEBLP00000001033.1	 CG8850-PA 
ENSEBLP00000001034.1	 CG14455-PB 
ENSEBLP00000001035.1	 CG33643-PA 
ENSEBLP00000001036.1	 CG8850-PA 
ENSEBLP00000001037.1	 mfrn-PA 
ENSEBLP00000001038.1	 CG14455-PB 
ENSEBLP00000001039.1	 Fip1-PA 
ENSEBLP00000001040.1	  
ENSEBLP00000001041.1	 Raf-PE 
ENSEBLP00000001042.1	  
ENSEBLP00000001043.1	 CG17754-PF 
ENSEBLP00000001044.1	 CG34159-PA 
ENSEBLP00000001045.1	 Fip1-PA 
ENSEBLP00000001046.1	 CG17754-PF 
ENSEBLP00000001047.1	 Raf-PE 
ENSEBLP00000001048.1	  
ENSEBLP00000001049.1	 WDR79-PB 
ENSEBLP00000001050.1	 rgr-PA 
ENSEBLP00000001051.1	 Raf-PE 
ENSEBLP00000001052.1	  
ENSEBLP00000001053.1	 byn-PC 
ENSEBLP00000001054.1	 BNIP3-PA 
ENSEBLP00000001055.1	 mRpL49-PB 
ENSEBLP00000001056.1	 sw-PI 
ENSEBLP00000001057.1	 rgr-PC 
ENSEBLP00000001058.1	  
ENSEBLP00000001059.1	  
ENSEBLP00000001060.1	 byn-PB 
ENSEBLP00000001061.1	 mRpL49-PB 
ENSEBLP00000001062.1	 BNIP3-PB 
ENSEBLP00000001063.1	 CG6006-PC 
ENSEBLP00000001064.1	 Ir75d-PC 
ENSEBLP00000001065.1	  
ENSEBLP00000001066.1	 CtIP-PA 
ENSEBLP00000001067.1	 CG4199-PI 
ENSEBLP00000001068.1	  
ENSEBLP00000001069.1	 CG6006-PC 
ENSEBLP00000001070.1	 CtIP-PA 
ENSEBLP00000001071.1	 CG4199-PI 
ENSEBLP00000001072.1	  
ENSEBLP00000001073.1	 Pgls-PA 
ENSEBLP00000001074.1	  
ENSEBLP00000001075.1	 CG6006-PC 
ENSEBLP00000001076.1	 Xport-B-PB 
ENSEBLP00000001078.1	  
ENSEBLP00000001077.1	  
ENSEBLP00000001079.1	 CG4199-PI 
ENSEBLP00000001080.1	 CG5096-PA 
ENSEBLP00000001081.1	 CG13193-PA 
ENSEBLP00000001082.1	 qkr58E-3-PD 
ENSEBLP00000001083.1	 Pgls-PA 
ENSEBLP00000001084.1	 APC7-PA 
ENSEBLP00000001085.1	 CG5096-PA 
ENSEBLP00000001086.1	 CG33985-PA 
ENSEBLP00000001087.1	 Pgls-PA 
ENSEBLP00000001088.1	 APC7-PA 
ENSEBLP00000001089.1	 CG6665-PC 
ENSEBLP00000001090.1	 Lk-PA 
ENSEBLP00000001091.1	 qkr58E-3-PD 
ENSEBLP00000001093.1	 Obp56d-PB 
ENSEBLP00000001092.1	 dysc-PE 
ENSEBLP00000001094.1	 Asciz-PB 
ENSEBLP00000001095.1	  
ENSEBLP00000001096.1	 Pis-PA 
ENSEBLP00000001097.1	 CG6665-PC 
ENSEBLP00000001098.1	 CG4199-PI 
ENSEBLP00000001099.1	 CG6951-PA 
ENSEBLP00000001100.1	 CG15570-PA 
ENSEBLP00000001101.1	 CG4199-PI 
ENSEBLP00000001102.1	 dysc-PH 
ENSEBLP00000001103.1	  
ENSEBLP00000001104.1	 CG30105-PA 
ENSEBLP00000001105.1	 Ir52b-PB 
ENSEBLP00000001106.1	 CG4199-PI 
ENSEBLP00000001108.1	 GNBP1-PA 
ENSEBLP00000001107.1	  
ENSEBLP00000001109.1	 Pgant9-PD 
ENSEBLP00000001110.1	 Duba-PF 
ENSEBLP00000001111.1	 Rad9-PB 
ENSEBLP00000001112.1	 slif-PB 
ENSEBLP00000001113.1	 Mic26-27-PC 
ENSEBLP00000001114.1	 Cpsf160-PA 
ENSEBLP00000001115.1	 Duba-PF 
ENSEBLP00000001116.1	 stw-PE 
ENSEBLP00000001117.1	  
ENSEBLP00000001118.1	 Rad9-PB 
ENSEBLP00000001119.1	 Mic26-27-PC 
ENSEBLP00000001120.1	  
ENSEBLP00000001121.1	 CG31368-PD 
ENSEBLP00000001123.1	 Cpsf160-PB 
ENSEBLP00000001122.1	 CG12863-PA 
ENSEBLP00000001124.1	 CG4596-PA 
ENSEBLP00000001125.1	 Duba-PF 
ENSEBLP00000001126.1	 CG3071-PA 
ENSEBLP00000001127.1	 Mic26-27-PC 
ENSEBLP00000001128.1	 CG16935-PB 
ENSEBLP00000001129.1	 CG4596-PA 
ENSEBLP00000001130.1	  
ENSEBLP00000001131.1	 CG2145-PB 
ENSEBLP00000001132.1	 CG18262-PA 
ENSEBLP00000001133.1	 CG3071-PA 
ENSEBLP00000001134.1	  
ENSEBLP00000001135.1	  
ENSEBLP00000001136.1	 CG14480-PB 
ENSEBLP00000001137.1	 CG5938-PF 
ENSEBLP00000001138.1	 CG2145-PB 
ENSEBLP00000001139.1	 CG14480-PB 
ENSEBLP00000001140.1	 Sap-r-PA 
ENSEBLP00000001141.1	 lov-PE 
ENSEBLP00000001142.1	  
ENSEBLP00000001143.1	 Obp19b-PA 
ENSEBLP00000001144.1	 CG14480-PB 
ENSEBLP00000001145.1	 FRG1-PA 
ENSEBLP00000001146.1	 Sap-r-PA 
ENSEBLP00000001147.1	 PICK1-PE 
ENSEBLP00000001148.1	 CG11370-PB 
ENSEBLP00000001149.1	 mthl14-PA 
ENSEBLP00000001150.1	 Obp19b-PA 
ENSEBLP00000001151.1	 FRG1-PA 
ENSEBLP00000001152.1	 CG6426-PA 
ENSEBLP00000001153.1	 mthl14-PA 
ENSEBLP00000001154.1	  
ENSEBLP00000001155.1	 PICK1-PA 
ENSEBLP00000001156.1	 CG13202-PA 
ENSEBLP00000001157.1	 CG6426-PA 
ENSEBLP00000001158.1	 CG9171-PG 
ENSEBLP00000001159.1	 PICK1-PF 
ENSEBLP00000001160.1	 IRSp53-PA 
ENSEBLP00000001161.1	 ttv-PB 
ENSEBLP00000001162.1	 CG13202-PA 
ENSEBLP00000001163.1	 mgr-PA 
ENSEBLP00000001164.1	 PICK1-PE 
ENSEBLP00000001165.1	 FucTA-PB 
ENSEBLP00000001166.1	 CG9171-PG 
ENSEBLP00000001167.1	 mgr-PA 
ENSEBLP00000001169.1	 CG11241-PA 
ENSEBLP00000001168.1	 SH3PX1-PA 
ENSEBLP00000001170.1	 Ssl1-PB 
ENSEBLP00000001171.1	 FucTA-PB 
ENSEBLP00000001172.1	 IRSp53-PA 
ENSEBLP00000001173.1	 ttv-PD 
ENSEBLP00000001174.1	 CG9171-PG 
ENSEBLP00000001175.1	 mRpL39-PA 
ENSEBLP00000001176.1	 FucTA-PB 
ENSEBLP00000001178.1	 SH3PX1-PA 
ENSEBLP00000001177.1	 CG11241-PA 
ENSEBLP00000001179.1	 IRSp53-PE 
ENSEBLP00000001180.1	 CG43088-PA 
ENSEBLP00000001182.1	 Ssl1-PB 
ENSEBLP00000001181.1	 List-PD 
ENSEBLP00000001183.1	 osy-PC 
ENSEBLP00000001184.1	 FucTA-PB 
ENSEBLP00000001185.1	 IRSp53-PE 
ENSEBLP00000001186.1	 FucTA-PB 
ENSEBLP00000001187.1	 osy-PC 
ENSEBLP00000001188.1	 CG6337-PB 
ENSEBLP00000001189.1	 RIOK1-PB 
ENSEBLP00000001190.1	 Noc2-PA 
ENSEBLP00000001191.1	 IRSp53-PA 
ENSEBLP00000001192.1	 FucTA-PB 
ENSEBLP00000001193.1	 CG13562-PC 
ENSEBLP00000001194.1	 CG6337-PB 
ENSEBLP00000001195.1	 SLC22A-PA 
ENSEBLP00000001196.1	 Noc2-PA 
ENSEBLP00000001197.1	 CG13562-PC 
ENSEBLP00000001198.1	 Zaf1-PB 
ENSEBLP00000001199.1	 IRSp53-PB 
ENSEBLP00000001200.1	 CG6337-PB 
ENSEBLP00000001202.1	 kis-PA 
ENSEBLP00000001201.1	  
ENSEBLP00000001203.1	 PCB-PM 
ENSEBLP00000001204.1	 CG7166-PC 
ENSEBLP00000001205.1	 Zaf1-PB 
ENSEBLP00000001206.1	 Wdr24-PB 
ENSEBLP00000001207.1	 Zw10-PB 
ENSEBLP00000001208.1	 px-PA 
ENSEBLP00000001209.1	 CG7166-PC 
ENSEBLP00000001210.1	 CG6654-PA 
ENSEBLP00000001211.1	 PCB-PB 
ENSEBLP00000001212.1	  
ENSEBLP00000001213.1	 Wdr24-PC 
ENSEBLP00000001214.1	 dgrn-PD 
ENSEBLP00000001215.1	 LSm1-PA 
ENSEBLP00000001216.1	 Dnali1-PA 
ENSEBLP00000001217.1	 Zw10-PB 
ENSEBLP00000001218.1	  
ENSEBLP00000001219.1	 dgrn-PD 
ENSEBLP00000001220.1	 CG7166-PC 
ENSEBLP00000001221.1	 CG11382-PC 
ENSEBLP00000001222.1	 Zw10-PB 
ENSEBLP00000001223.1	 Wdr24-PC 
ENSEBLP00000001224.1	 CG11382-PC 
ENSEBLP00000001225.1	 CG32109-PA 
ENSEBLP00000001226.1	 CG10949-PB 
ENSEBLP00000001227.1	 CG7328-PA 
ENSEBLP00000001228.1	  
ENSEBLP00000001229.1	  
ENSEBLP00000001230.1	 CG32109-PA 
ENSEBLP00000001231.1	 Nca-PA 
ENSEBLP00000001232.1	  
ENSEBLP00000001233.1	  
ENSEBLP00000001234.1	 Nca-PA 
ENSEBLP00000001235.1	 CG10948-PD 
ENSEBLP00000001236.1	 CG14894-PB 
ENSEBLP00000001237.1	 ppk15-PB 
ENSEBLP00000001238.1	 CG10948-PB 
ENSEBLP00000001239.1	 bif-PC 
ENSEBLP00000001240.1	 CG3558-PC 
ENSEBLP00000001241.1	 CG14696-PA 
ENSEBLP00000001242.1	 CG10948-PD 
ENSEBLP00000001243.1	 ppk15-PB 
ENSEBLP00000001244.1	  
ENSEBLP00000001245.1	 bin3-PD 
ENSEBLP00000001246.1	 CG3558-PA 
ENSEBLP00000001247.1	 Ir41a-PC 
ENSEBLP00000001248.1	 Adck1-PB 
ENSEBLP00000001250.1	 bin3-PD 
ENSEBLP00000001249.1	 Obp56h-PB 
ENSEBLP00000001251.1	 Trpml-PA 
ENSEBLP00000001252.1	 CG3558-PC 
ENSEBLP00000001253.1	 CG14186-PA 
ENSEBLP00000001254.1	 CG8036-PC 
ENSEBLP00000001255.1	 bin3-PD 
ENSEBLP00000001256.1	 CG7252-PA 
ENSEBLP00000001257.1	 CG43191-PA 
ENSEBLP00000001258.1	 CG10584-PA 
ENSEBLP00000001259.1	 Trpml-PA 
ENSEBLP00000001260.1	  
ENSEBLP00000001261.1	 CG14186-PA 
ENSEBLP00000001262.1	 bin3-PD 
ENSEBLP00000001263.1	 CG7492-PA 
ENSEBLP00000001264.1	 Leash-PA 
ENSEBLP00000001265.1	 CG10154-PB 
ENSEBLP00000001266.1	 CG11307-PD 
ENSEBLP00000001267.1	 Fili-PE 
ENSEBLP00000001268.1	 bin3-PD 
ENSEBLP00000001269.1	 CG7492-PA 
ENSEBLP00000001270.1	 CG11307-PD 
ENSEBLP00000001271.1	 CG43980-PB 
ENSEBLP00000001272.1	 CG7492-PA 
ENSEBLP00000001273.1	  
ENSEBLP00000001274.1	 CG17121-PA 
ENSEBLP00000001275.1	 CG7492-PA 
ENSEBLP00000001276.1	 CG3262-PE 
ENSEBLP00000001278.1	 CG11307-PD 
ENSEBLP00000001277.1	 CNBP-PB 
ENSEBLP00000001279.1	 CG7492-PA 
ENSEBLP00000001280.1	 CG2186-PC 
ENSEBLP00000001281.1	 Als2-PA 
ENSEBLP00000001282.1	 CG5614-PA 
ENSEBLP00000001283.1	 bsd-PC 
ENSEBLP00000001284.1	  
ENSEBLP00000001285.1	 CG3262-PE 
ENSEBLP00000001286.1	 CG7492-PA 
ENSEBLP00000001287.1	 ATPsynbeta-PD 
ENSEBLP00000001288.1	 CG5614-PA 
ENSEBLP00000001289.1	 Ufsp2-PA 
ENSEBLP00000001291.1	 CG2186-PC 
ENSEBLP00000001290.1	 Als2-PA 
ENSEBLP00000001292.1	 CG7492-PA 
ENSEBLP00000001293.1	 bsd-PC 
ENSEBLP00000001294.1	 CG3262-PE 
ENSEBLP00000001295.1	 CG31915-PA 
ENSEBLP00000001296.1	 CG7492-PA 
ENSEBLP00000001297.1	 CG3376-PD 
ENSEBLP00000001298.1	 bsd-PC 
ENSEBLP00000001299.1	 Ufsp2-PA 
ENSEBLP00000001300.1	 CG14210-PB 
ENSEBLP00000001301.1	 SLC22A-PA 
ENSEBLP00000001302.1	 O-fut1-PB 
ENSEBLP00000001303.1	 CG3376-PD 
ENSEBLP00000001304.1	 epsilonTry-PA 
ENSEBLP00000001305.1	 CG14210-PB 
ENSEBLP00000001306.1	 bsd-PC 
ENSEBLP00000001307.1	 Su(Tpl)-PC 
ENSEBLP00000001309.1	  
ENSEBLP00000001308.1	 Hml-PA 
ENSEBLP00000001310.1	 CG14210-PB 
ENSEBLP00000001311.1	 CG3376-PC 
ENSEBLP00000001312.1	 Atg1-PA 
ENSEBLP00000001313.1	 O-fut1-PB 
ENSEBLP00000001314.1	 Su(Tpl)-PC 
ENSEBLP00000001315.1	 Or69a-PB 
ENSEBLP00000001316.1	 O-fut1-PB 
ENSEBLP00000001317.1	 CG15473-PA 
ENSEBLP00000001318.1	 Atg1-PA 
ENSEBLP00000001319.1	 CG30016-PA 
ENSEBLP00000001320.1	 Smyd4-4-PA 
ENSEBLP00000001321.1	 Csp-PA 
ENSEBLP00000001322.1	 Or69a-PB 
ENSEBLP00000001323.1	 Meics-PB 
ENSEBLP00000001324.1	 CG15473-PA 
ENSEBLP00000001325.1	 cos-PB 
ENSEBLP00000001326.1	 slif-PB 
ENSEBLP00000001327.1	 Atg1-PA 
ENSEBLP00000001328.1	 Csp-PF 
ENSEBLP00000001329.1	 Paris-PA 
ENSEBLP00000001330.1	 CG17528-PD 
ENSEBLP00000001331.1	 CG34370-PH 
ENSEBLP00000001332.1	 Ir94e-PA 
ENSEBLP00000001333.1	 slif-PB 
ENSEBLP00000001334.1	  
ENSEBLP00000001335.1	  
ENSEBLP00000001336.1	 CG8298-PC 
ENSEBLP00000001337.1	 Csp-PC 
ENSEBLP00000001338.1	 Ir94e-PA 
ENSEBLP00000001339.1	  
ENSEBLP00000001340.1	 Pex3-PB 
ENSEBLP00000001341.1	 Prosbeta2-PA 
ENSEBLP00000001342.1	 Pif1-PB 
ENSEBLP00000001343.1	  
ENSEBLP00000001344.1	  
ENSEBLP00000001345.1	 CG13455-PA 
ENSEBLP00000001346.1	 CG8298-PC 
ENSEBLP00000001347.1	  
ENSEBLP00000001348.1	  
ENSEBLP00000001349.1	  
ENSEBLP00000001350.1	  
ENSEBLP00000001351.1	  
ENSEBLP00000001352.1	 CG13991-PA 
ENSEBLP00000001353.1	 Arc2-PA 
ENSEBLP00000001354.1	 Snx17-PA 
ENSEBLP00000001355.1	  
ENSEBLP00000001356.1	 CG32855-PA 
ENSEBLP00000001357.1	 nkt-PA 
ENSEBLP00000001358.1	  
ENSEBLP00000001359.1	 MED4-PA 
ENSEBLP00000001360.1	 CG13991-PA 
ENSEBLP00000001361.1	 Snx17-PA 
ENSEBLP00000001362.1	 CG6695-PB 
ENSEBLP00000001363.1	 Mhcl-PD 
ENSEBLP00000001364.1	 CG15646-PB 
ENSEBLP00000001365.1	 MED4-PA 
ENSEBLP00000001366.1	  
ENSEBLP00000001367.1	 nkt-PA 
ENSEBLP00000001368.1	 CG15646-PB 
ENSEBLP00000001369.1	 obst-G-PA 
ENSEBLP00000001370.1	 CG6695-PB 
ENSEBLP00000001371.1	 Mhcl-PB 
ENSEBLP00000001372.1	  
ENSEBLP00000001373.1	 CG3815-PA 
ENSEBLP00000001374.1	 hec-PB 
ENSEBLP00000001375.1	  
ENSEBLP00000001376.1	 Mhcl-PB 
ENSEBLP00000001377.1	 CG5532-PB 
ENSEBLP00000001378.1	 rumpel-PB 
ENSEBLP00000001379.1	 Tgt-PA 
ENSEBLP00000001380.1	 CG3815-PA 
ENSEBLP00000001381.1	 Gr22f-PA 
ENSEBLP00000001382.1	 CG7739-PA 
ENSEBLP00000001383.1	 SerT-PC 
ENSEBLP00000001384.1	 Med-PC 
ENSEBLP00000001385.1	  
ENSEBLP00000001386.1	 hec-PB 
ENSEBLP00000001387.1	 CG18135-PE 
ENSEBLP00000001388.1	 rumpel-PB 
ENSEBLP00000001389.1	 Mhcl-PB 
ENSEBLP00000001391.1	 SerT-PC 
ENSEBLP00000001390.1	  
ENSEBLP00000001392.1	 CG18135-PB 
ENSEBLP00000001393.1	 hec-PB 
ENSEBLP00000001394.1	 Ir20a-PA 
ENSEBLP00000001395.1	 CG7739-PA 
ENSEBLP00000001396.1	 rumpel-PB 
ENSEBLP00000001397.1	 Med-PB 
ENSEBLP00000001398.1	 CG11370-PA 
ENSEBLP00000001400.1	 SerT-PC 
ENSEBLP00000001399.1	 hec-PB 
ENSEBLP00000001401.1	 rumpel-PB 
ENSEBLP00000001402.1	 CG14456-PA 
ENSEBLP00000001403.1	 CG34297-PA 
ENSEBLP00000001404.1	 hec-PB 
ENSEBLP00000001405.1	 CG12926-PA 
ENSEBLP00000001406.1	  
ENSEBLP00000001407.1	 eIF3g1-PA 
ENSEBLP00000001408.1	 rumpel-PB 
ENSEBLP00000001409.1	 SerT-PC 
ENSEBLP00000001410.1	 CG3687-PA 
ENSEBLP00000001411.1	 Fer2-PB 
ENSEBLP00000001412.1	 CG34297-PA 
ENSEBLP00000001413.1	 Snp-PD 
ENSEBLP00000001414.1	 eIF3g1-PA 
ENSEBLP00000001415.1	 Fer2-PC 
ENSEBLP00000001416.1	 CG3687-PA 
ENSEBLP00000001417.1	  
ENSEBLP00000001419.1	 Strica-PB 
ENSEBLP00000001420.1	 nAChRalpha1-PC 
ENSEBLP00000001418.1	 Ir94e-PA 
ENSEBLP00000001421.1	  
ENSEBLP00000001422.1	 ReepA-PD 
ENSEBLP00000001423.1	  
ENSEBLP00000001424.1	 Snp-PD 
ENSEBLP00000001425.1	 CG14491-PA 
ENSEBLP00000001426.1	 nAChRalpha1-PC 
ENSEBLP00000001427.1	  
ENSEBLP00000001428.1	 Ir94e-PA 
ENSEBLP00000001429.1	 Snp-PD 
ENSEBLP00000001430.1	 ReepA-PS 
ENSEBLP00000001431.1	  
ENSEBLP00000001432.1	  
ENSEBLP00000001433.1	 Snp-PD 
ENSEBLP00000001434.1	 ReepA-PQ 
ENSEBLP00000001435.1	 Snp-PD 
ENSEBLP00000001436.1	  
ENSEBLP00000001437.1	 nmdyn-D7-PA 
ENSEBLP00000001438.1	 Ccp84Af-PA 
ENSEBLP00000001439.1	 CG43088-PA 
ENSEBLP00000001440.1	 CG2924-PD 
ENSEBLP00000001441.1	 Sap130-PA 
ENSEBLP00000001442.1	 ReepA-PJ 
ENSEBLP00000001443.1	 Ccp84Ad-PA 
ENSEBLP00000001444.1	  
ENSEBLP00000001445.1	 uzip-PB 
ENSEBLP00000001446.1	 ReepA-PS 
ENSEBLP00000001447.1	 nmdyn-D7-PA 
ENSEBLP00000001448.1	 Sap130-PA 
ENSEBLP00000001449.1	 kar-PB 
ENSEBLP00000001450.1	 Socs36E-PC 
ENSEBLP00000001451.1	 CG7430-PB 
ENSEBLP00000001452.1	 uzip-PB 
ENSEBLP00000001453.1	 Socs36E-PC 
ENSEBLP00000001454.1	  
ENSEBLP00000001455.1	 rgr-PA 
ENSEBLP00000001456.1	 kar-PA 
ENSEBLP00000001457.1	 Socs36E-PC 
ENSEBLP00000001458.1	  
ENSEBLP00000001459.1	  
ENSEBLP00000001460.1	 CG7430-PB 
ENSEBLP00000001461.1	  
ENSEBLP00000001462.1	 kar-PA 
ENSEBLP00000001463.1	 nAChRbeta2-PA 
ENSEBLP00000001464.1	  
ENSEBLP00000001465.1	 Socs36E-PC 
ENSEBLP00000001466.1	  
ENSEBLP00000001467.1	 CG13175-PA 
ENSEBLP00000001468.1	  
ENSEBLP00000001469.1	 CG7430-PB 
ENSEBLP00000001470.1	 IP3K2-PB 
ENSEBLP00000001471.1	 Socs36E-PC 
ENSEBLP00000001472.1	 nAChRbeta2-PA 
ENSEBLP00000001474.1	  
ENSEBLP00000001473.1	  
ENSEBLP00000001475.1	 qkr58E-2-PB 
ENSEBLP00000001476.1	 Socs36E-PC 
ENSEBLP00000001478.1	  
ENSEBLP00000001477.1	  
ENSEBLP00000001479.1	 IP3K2-PB 
ENSEBLP00000001480.1	 nAChRbeta2-PA 
ENSEBLP00000001481.1	 qkr58E-2-PB 
ENSEBLP00000001482.1	 Sptz-PB 
ENSEBLP00000001483.1	 CG7166-PC 
ENSEBLP00000001484.1	 Ccp84Af-PA 
ENSEBLP00000001485.1	 CG10514-PA 
ENSEBLP00000001486.1	 Ilp1-PA 
ENSEBLP00000001487.1	 nAChRbeta2-PA 
ENSEBLP00000001488.1	 Cyp4d1-PA 
ENSEBLP00000001489.1	 qkr58E-2-PB 
ENSEBLP00000001490.1	 Sting-PC 
ENSEBLP00000001491.1	 Ntmt-PB 
ENSEBLP00000001492.1	 Sirt4-PC 
ENSEBLP00000001493.1	 Sptz-PB 
ENSEBLP00000001494.1	 Ilp1-PA 
ENSEBLP00000001495.1	 nAChRbeta2-PA 
ENSEBLP00000001496.1	 Sting-PC 
ENSEBLP00000001497.1	 Cyp4d1-PA 
ENSEBLP00000001498.1	  
ENSEBLP00000001499.1	 Sdic1-PA 
ENSEBLP00000001500.1	 CG3831-PA 
ENSEBLP00000001501.1	  
ENSEBLP00000001503.1	  
ENSEBLP00000001502.1	 CG15201-PA 
ENSEBLP00000001504.1	  
ENSEBLP00000001505.1	 east-PF 
ENSEBLP00000001506.1	  
ENSEBLP00000001507.1	 CG4520-PB 
ENSEBLP00000001508.1	 east-PF 
ENSEBLP00000001509.1	 CG1688-PA 
ENSEBLP00000001510.1	 CG3961-PE 
ENSEBLP00000001511.1	 Gnmt-PA 
ENSEBLP00000001512.1	 CG4438-PB 
ENSEBLP00000001513.1	 slbo-PB 
ENSEBLP00000001514.1	  
ENSEBLP00000001515.1	 pns-PA 
ENSEBLP00000001516.1	 Tsp74F-PB 
ENSEBLP00000001517.1	 CG1688-PA 
ENSEBLP00000001518.1	  
ENSEBLP00000001519.1	 CG3961-PD 
ENSEBLP00000001520.1	 edin-PA 
ENSEBLP00000001521.1	 Dcr-2-PA 
ENSEBLP00000001522.1	 CG1688-PA 
ENSEBLP00000001523.1	 hrg-PD 
ENSEBLP00000001524.1	 CG3961-PC 
ENSEBLP00000001525.1	 endos-PF 
ENSEBLP00000001526.1	 pns-PA 
ENSEBLP00000001527.1	  
ENSEBLP00000001528.1	  
ENSEBLP00000001529.1	 Dcr-2-PA 
ENSEBLP00000001530.1	 CG13251-PA 
ENSEBLP00000001531.1	 endos-PF 
ENSEBLP00000001532.1	 pns-PA 
ENSEBLP00000001533.1	  
ENSEBLP00000001534.1	 Ir94d-PA 
ENSEBLP00000001535.1	 endos-PF 
ENSEBLP00000001536.1	 Dcr-2-PB 
ENSEBLP00000001537.1	  
ENSEBLP00000001538.1	  
ENSEBLP00000001539.1	 CG42342-PR 
ENSEBLP00000001540.1	 endos-PF 
ENSEBLP00000001541.1	 pns-PA 
ENSEBLP00000001542.1	 ths-PB 
ENSEBLP00000001543.1	  
ENSEBLP00000001544.1	  
ENSEBLP00000001546.1	 ths-PA 
ENSEBLP00000001545.1	 CG31300-PA 
ENSEBLP00000001547.1	 PsGEF-PC 
ENSEBLP00000001548.1	  
ENSEBLP00000001549.1	  
ENSEBLP00000001550.1	 ths-PB 
ENSEBLP00000001551.1	 CG31300-PA 
ENSEBLP00000001552.1	 Fa2h-PB 
ENSEBLP00000001553.1	 Cbp80-PB 
ENSEBLP00000001554.1	 CG42674-PB 
ENSEBLP00000001555.1	 Sobp-PB 
ENSEBLP00000001556.1	 Fsn-PA 
ENSEBLP00000001557.1	 PsGEF-PF 
ENSEBLP00000001558.1	  
ENSEBLP00000001559.1	 CG42674-PC 
ENSEBLP00000001560.1	 Cbp80-PB 
ENSEBLP00000001561.1	 Fa2h-PB 
ENSEBLP00000001562.1	  
ENSEBLP00000001563.1	 CG6959-PC 
ENSEBLP00000001564.1	 spri-PO 
ENSEBLP00000001565.1	 Fa2h-PB 
ENSEBLP00000001566.1	 CG42674-PF 
ENSEBLP00000001567.1	 spri-PO 
ENSEBLP00000001568.1	 Fa2h-PB 
ENSEBLP00000001569.1	 arr-PA 
ENSEBLP00000001570.1	  
ENSEBLP00000001571.1	 CG42674-PB 
ENSEBLP00000001572.1	 Pfdn6-PB 
ENSEBLP00000001573.1	 spri-PO 
ENSEBLP00000001574.1	 Fa2h-PB 
ENSEBLP00000001575.1	  
ENSEBLP00000001576.1	 CG8321-PB 
ENSEBLP00000001577.1	 CG42674-PB 
ENSEBLP00000001578.1	 spri-PO 
ENSEBLP00000001579.1	 Fa2h-PB 
ENSEBLP00000001580.1	 AGO1-PB 
ENSEBLP00000001581.1	 CG8321-PA 
ENSEBLP00000001583.1	 Sugb-PE 
ENSEBLP00000001582.1	  
ENSEBLP00000001584.1	 spri-PO 
ENSEBLP00000001585.1	 Fa2h-PB 
ENSEBLP00000001586.1	 AGO1-PD 
ENSEBLP00000001587.1	 siz-PD 
ENSEBLP00000001588.1	 RhoGEF2-PE 
ENSEBLP00000001589.1	 Amyrel-PA 
ENSEBLP00000001590.1	 CG42674-PC 
ENSEBLP00000001591.1	  
ENSEBLP00000001592.1	 Sugb-PE 
ENSEBLP00000001593.1	 siz-PD 
ENSEBLP00000001594.1	 AGO1-PD 
ENSEBLP00000001595.1	 Sugb-PE 
